country,Time period.1,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Unnamed: 28
Australia,Mean,49.96250316633,49.5089820359281,50.0437912173958,49.8181260651902,50.258064516129,49.4790602655771,46.3540669856459,45.4733570159858,45.0103448275862,44.6086956521739,45.1227236737925,45.1570881226054,44.0377632534495,43.7860661505982,43.6758893280632,44.2923605960488,44.6917353175658,44.7802551875242,44.779278998817,44.5701221346489,44.8130313298853,43.5660313522048,44.3258929545504,46.8184855588201,
Australia,Median,57.6945244956772,58.1434599156118,57.52,58.3094928478544,58.425,57.4614472123369,53.8222222222222,54.4712765957447,52.212,54.378,54.2761904761905,53.5727272727273,52.7304347826087,53.9635732870772,53.0546357615894,53.2998610098007,53.816,54.2466822794692,53.591654247392,53.8372093023256,52.6029309141661,51.5410273515677,53.6015831134565,55.175,
Belgium,Mean,42.8853742051198,42.1881363848669,42.5962641924063,42.1303724071971,41.104495712182,41.1879840013616,40.4104355419714,40.5293367346939,40.9525775323804,41.4787872748561,40.5672099992691,40.6683263389999,40.6367817159846,41.2635145964511,39.8008833922261,39.5441260367754,39.4300753834156,39.4440856560163,39.1275170586149,38.5180751359866,38.1523931352648,37.5992077403633,42.2640433582663,44.6517412940764,
Belgium,Median,50.5042436345482,49.6181059107888,50.1445817763725,48.7615193026152,48.3862547160192,48.295360053218,47.5514594907036,47.903514557618,47.9601148209699,49.4270616873479,48.2594707399785,48.6366291433919,48.3188157640366,49.3573247884315,47.2555261294806,45.3334004125371,45.7062146892655,45.283449587825,42.6937158469945,41.9852353206738,41.6410387516355,41.0372702177911,46.1286572782678,48.7346857368174,
Canada,Mean,37.6410835214447,36.960087479497,36.3250132766861,36.018711018711,35.8701166920345,35.9251968503937,35.4477611940298,35.1097178683386,35.8985382631126,36.7287784679089,37.9156528791565,38.3545310015898,38.6222910216718,38.3800151400454,38.6473429951691,38.695652173913,38.9932647997164,39.71358714635,43.8566552901024,44.2671984047856,42.9830081812461,43.0021531836358,43.0510475066391,43.1262299690751,
Canada,Median,41.4028553693358,40.3823178016726,40.2352941176471,40.0346620450607,39.3871866295265,40.2647545504688,40.0,39.6359959555106,41.439205955335,41.9187145557656,42.8309665597801,43.8636363636364,44.0229378032642,43.9341421143848,43.9932318104907,44.4259567387687,44.2299959790913,45.48,51.4,51.2307692307692,48.8729874776386,48.9324466223311,49.058507061197,49.6119016817594,
Chile,Mean,39.1525927524209,,,43.7121750086833,,,41.3281469360702,,,43.9073308638714,44.0732266740675,42.9929601008669,42.8230762337191,44.6746616101128,44.9917208994013,46.2992339285248,48.1709175026937,47.27693738947,46.1059528263675,45.7602534830067,45.4623278160225,44.6194416108042,45.1302151204444,46.1594555929518,
Chile,Median,64.028,,,70.89,,,64.9752475247525,,,70.6997529872828,70.9668790587547,67.4131627056673,67.1467840066841,67.1666666666667,67.6433533348963,66.2142857142857,68.891051190321,70.2631578947368,69.6463127938515,70.2574441278468,70.9444444444444,73.133374653247,68.5071183519445,70.0694928869317,
Colombia,Mean,,,,,,,,52.214070038124,52.8294644360064,54.8876344813713,52.3265296575043,52.8836829516041,54.5249905165458,53.1825074647427,51.9929183814713,54.5078874813096,55.1530545831156,55.9143324186423,56.1571551378725,55.8013658116951,58.327123080645,58.3550401809299,53.6833307036852,55.2010493591188,
Colombia,Median,,,,,,,,87.8726788301203,85.2000000000001,86.7404681203905,85.8333333333333,83.6570000520644,83.9555555555556,84.0142517814728,82.1333333333333,82.6089743589744,85.6464596273292,85.5324057971014,86.8046666666667,87.1701052631579,90.6509122203098,90.8526,89.8876404494382,91.3385826771654,
Costa Rica,Mean,,,,,,,,,,,61.1223395660252,60.3164151843882,63.7513118028834,64.3468187574597,60.2485306614591,61.9033272270208,61.4000471930306,62.1508819916713,62.1334926131225,61.2584935889332,65.0279002295828,69.0255500523083,69.3813670348735,71.5962485215873,
Costa Rica,Median,,,,,,,,,,,75.2740563784044,76.5784018998202,78.1661538461539,76.8238095238095,74.6227691428572,76.6423076923077,77.5007515762927,75.316294117647,75.6629134615386,76.5527944572748,78.8914285714286,88.3098833333333,87.9169327313771,90.2986948717949,
Czechia,Mean,27.9844603937578,30.5754295847857,33.7729322867327,34.1427104693321,35.0368194546146,35.6165983508979,36.4060046591471,34.9334948992719,32.6199787662119,32.2194688885055,31.9745589545292,31.3394350322714,30.7302270195521,31.3162412727481,31.7140511902097,33.0804357987846,34.0721365638767,35.359542254653,36.2189763686023,37.108301264431,37.7964171067619,37.2759153444344,37.3160113330108,37.6684738824657,
Czechia,Median,32.4427480916031,35.3631798571328,39.0563334557982,39.5199817949415,40.2984259279478,41.1619757531156,42.3665738951446,40.7481540981309,38.3465646207999,38.3267259523977,37.6835111663634,37.131631629954,36.3685957175979,36.864726488817,37.2088951146909,38.7760263002613,39.6285325434313,40.9790261893231,41.8037280701754,42.9266431365067,43.9825274890797,43.2198811453269,43.2946710139505,43.7775191052179,
Estonia,Mean,27.5383431649141,28.1186984417965,29.7014862884656,31.6868783473604,33.6519815994338,32.3618823529412,30.2468843666193,29.7632291558867,32.4144893065482,34.127414820483,33.9457671957672,32.0566994122507,31.6323739537635,32.6214242365955,34.0392297858741,35.2845585819166,36.1545588139328,37.0911336683149,36.7773524697547,36.981235447199,38.8620797423497,36.351609474756,36.458524860286,36.2910709135406,
Estonia,Median,34.1622653515749,34.8806139852189,36.8434172942093,39.3115804461319,41.7473661106234,40.1491090819925,37.0373589862463,35.781416855878,37.8263127341334,39.8252230229123,40.4092781007752,38.1605186317344,37.6553986455411,38.8327710025751,39.8909176029963,41.350331012291,42.369893081946,43.467474624778,43.0997512651171,43.338683788122,45.5428642373828,42.6008187440118,42.9630748628168,42.5186748378008,
France,Mean,50.1630684437349,50.8831910193759,51.0792947710218,51.6966567992757,53.0376243961886,54.1072612271401,51.0494699460739,50.7624046414757,50.6552116934986,50.8769273450824,50.2651626079001,50.0776655449777,50.8994643530223,50.6841556296015,50.5066251403552,50.3080743206077,50.0436327738526,49.8628217317063,49.717299783471,49.6284320637085,49.3826850223176,49.2025273624164,49.1353029556821,50.2095351549216,
France,Median,61.696575903208,63.1192034493004,63.1699607312247,63.8748364158016,65.7691878957514,67.0270609770218,63.3714683792315,63.3070285714286,62.9548217377955,62.7545811570248,62.1063561781185,61.979931842447,63.0740692267527,62.8072609705405,62.5872670961272,62.3412250540554,62.0135319311814,61.7894728308693,61.6091435964919,61.4990196731938,61.1944925804635,60.971243144408,60.887939382021,62.2191163789046,
Germany,Mean,,,,,,,,,,,,,,,,42.5541104896377,41.8819329365072,42.8046044593047,41.2391047314416,41.7981125675654,41.1557816482037,39.4938669821225,42.1153120693505,45.2683396901335,
Germany,Median,,,,,,,,,,,,,,,,48.174386920981,47.1466666666667,48.5919661733616,46.4323232323232,46.7364303183055,46.2387066096053,44.7529411768756,48.0973482450587,51.6982302058375,
Greece,Mean,37.6420454545455,36.4843437708195,36.4896660124984,32.6065400367371,32.6949201961008,34.0792918901091,31.9251023343808,32.5436480088368,33.7554024022581,33.8871136768533,39.6520649823478,41.3955558834575,35.000498821369,36.919030842331,35.7350106606349,35.9422737224666,37.3154835158498,36.7545492611377,36.3837569060267,40.127879557055,40.6280163343754,39.1575653410401,38.8668244706132,39.6041809833708,
